Year,Location,Medal,Artist,FigureName,Category
2022,Chicago AdeptiCon,Silver,Ben Komets,Sanguinius vs Ka'Bandha,Duel
2022,Chicago AdeptiCon,Bronze,Andy Wardle,Loonbos vs Sylvaneth Arch Revenant,Duel
2022,Chicago AdeptiCon,Gold,James Cordwell,King of the Dead,Middle-Earth
2022,Chicago AdeptiCon,Silver,Federico Rovida,Aragon,Middle-Earth
2022,Chicago AdeptiCon,Bronze,Matt Cexwish,Radagast the Brown,Middle-Earth
2022,Chicago AdeptiCon,Gold,James Cordwell,Imperial Navy Thunderbolt Fighter,Small Scale
2022,Chicago AdeptiCon,Silver,Sam Lenz,Warmaster Titan,Small Scale
2022,Chicago AdeptiCon,Bronze,Mamikon Khachikyan,Xiphon Interceptor,Small Scale
2022,Chicago AdeptiCon,Gold,Luca Franzoni,Megaboss on Maw-krusha,Young Bloods
2022,Chicago AdeptiCon,Silver,Gavin Grehier,Unknown,Young Bloods
2022,Chicago AdeptiCon,Bronze,Unawarded,Unawarded,Young Bloods
2022,Chicago AdeptiCon,Gold,Erik Swinson,"Mephiston, Lord of Death",The Open Competition
2022,Chicago AdeptiCon,Silver,Chris Borer,World Eaters Contemptor Dreadnought,The Open Competition
2022,Chicago AdeptiCon,Bronze,John Margiotta,Grot Tanks!,The Open Competition
